SYMBOL
20MICRONS
3IINFOTECH
3MINDIA
63MOONS
8KMILES
A2ZINFRA
AARTIDRUGS
AARTIIND
AARVEEDEN
ABAN
ABB
ABBOTINDIA
ABCAPITAL
ABFRL
ABGSHIP
ABMINTLTD
ACC
ACCELYA
ACE
ADANIENT
ADANIPORTS
ADANIPOWER
ADANITRANS
ADFFOODS
ADHUNIK
ADHUNIKIND
ADLABS
ADORWELD
ADSL
ADVANIHOTR
ADVENZYMES
AEGISCHEM
AGARIND
AGCNET
AGLSL
AGRITECH
AHLEAST
AHLUCONT
AHLWEST
AIAENG
AICHAMP
AIFL
AJANTPHARM
AJMERA
AKSHARCHEM
AKSHOPTFBR
AKZOINDIA
ALANKIT
ALBERTDAVD
ALBK
ALCHEM
ALEMBICLTD
ALICON
ALKALI
ALKEM
ALKYLAMINE
ALLCARGO
ALLSEC
ALMONDZ
ALOKTEXT
ALPA
ALPHAGEO
ALPSINDUS
AMARAJABAT
AMBIKCO
AMBUJACEM
AMDIND
AMRUTANJAN
AMTEKAUTO
ANANTRAJ
ANDHRABANK
ANDHRACEMT
ANDHRSUGAR
ANGIND
ANIKINDS
ANSALAPI
ANSALHSG
ANTGRAPHIC
APARINDS
APCL
APCOTEXIND
APEX
APLAPOLLO
APLLTD
APOLLOHOSP
APOLLOTYRE
APOLSINHOT
APTECHT
ARCHIDPLY
ARCHIES
ARCOTECH
ARENTERP
ARENTERP
ARIES
ARIHANT
ARIHANTSUP
ARMANFIN
AROGRANITE
ARROWGREEN
ARROWTEX
ARSHIYA
ARSSINFRA
ARVIND
ARVSMART
ASAHIINDIA
ASAHISONG
ASAL
ASHAPURMIN
ASHIANA
ASHIMASYN
ASHOKA
ASHOKLEY
ASIANHOTNR
ASIANPAINT
ASIANTILES
ASPINWALL
ASSAMCO
ASTEC
ASTRAL
ASTRAMICRO
ASTRAZEN
ATFL
ATLANTA
ATLASCYCLE
ATUL
ATULAUTO
AUBANK
AURIONPRO
AUROPHARMA
AUSOMENT
AUTOAXLES
AUTOIND
AUTOLITIND
AVADHSUGAR
AVANTIFEED
AVTNPL
AXISBANK
AXISCADES
AYMSYNTEX
BAFNAPHARM
BAGFILMS
BAJAJ-AUTO
BAJAJCORP
BAJAJELEC
BAJAJFINSV
BAJAJHIND
BAJAJHLDNG
BAJFINANCE
BALAJITELE
BALAMINES
BALAXI
BALKRISHNA
BALKRISIND
BALLARPUR
BALMLAWRIE
BALPHARMA
BALRAMCHIN
BANARBEADS
BANARISUG
BANCOINDIA
BANG
BANKBARODA
BANKINDIA
BANSWRAS
BARTRONICS
BASF
BASML
BATAINDIA
BAYERCROP
BBL
BBTC
BEARDSELL
BEDMUTHA
BEL
BEML
BEPL
BERGEPAINT
BFINVEST
BFUTILITIE
BGLOBAL
BGRENERGY
BHAGERIA
BHAGYANGR
BHAGYAPROP
BHANDARI
BHARATFIN
BHARATFIN
BHARATFORG
BHARATGEAR
BHARATIDIL
BHARATRAS
BHARATWIRE
BHARTIARTL
BHEL
BHUSANSTL
BIGBLOC
BIL
BILENERGY
BILPOWER
BINANIIND
BINDALAGRO
BIOCON
BIOFILCHEM
BIRLACABLE
BIRLACORPN
BIRLAMONEY
BLBLIMITED
BLISSGVS
BLKASHYAP
BLS
BLUEBLENDS
BLUECOAST
BLUEDART
BLUESTARCO
BODALCHEM
BOMDYEING
BOSCHLTD
BPCL
BPL
BRFL
BRIGADE
BRITANNIA
BRNL
BROOKS
BSE
BSELINFRA
BSL
BSLIMITED
BURNPUR
BUTTERFLY
BVCL
BYKE
CADILAHC
CALSOFT
CALSOFT
CAMLINFINE
CANBK
CANDC
CANFINHOME
CANTABIL
CAPACITE
CAPF
CAPLIPOINT
CAPTRUST
CARBORUNIV
CAREERP
CARERATING
CASTEXTECH
CASTROLIND
CCCL
CCHHL
CCL
CDSL
CEATLTD
CEBBCO
CELEBRITY
CELESTIAL
CENTENKA
CENTEXT
CENTRALBK
CENTUM
CENTURYPLY
CENTURYTEX
CERA
CEREBRAINT
CESC
CGCL
CGPOWER
CHAMBLFERT
CHENNPETRO
CHOLAFIN
CHROMATIC
CIGNITITEC
CIMMCO
CINELINE
CINEVISTA
CIPLA
CLEDUCATE
CLNINDIA
CMICABLES
CNOVAPETRO
COALINDIA
COCHINSHIP
COFFEEDAY
COLPAL
COMPINFO
COMPUSOFT
CONCOR
CONSOFINVT
CONTROLPR
CORALFINAC
CORDSCABLE
COROMANDEL
CORPBANK
COSMOFILMS
COUNCODOS
COX&KINGS
CREATIVEYE
CREST
CRISIL
CROMPTON
CTE
CUB
CUBEXTUB
CUMMINSIND
CUPID
CURATECH
CYBERMEDIA
CYBERTECH
CYIENT
DAAWAT
DABUR
DALMIABHA
DALMIASUG
DAMODARIND
DATAMATICS
DBCORP
DBL
DBREALTY
DCAL
DCBBANK
DCM
DCMSHRIRAM
DCW
DECCANCE
DEEPAKFERT
DEEPAKNTR
DEEPIND
DELTACORP
DELTAMAGNT
DEN
DENABANK
DENORA
DFMFOODS
DHAMPURSUG
DHANBANK
DHANUKA
DHARSUGAR
DHFL
DHUNINV
DIAMONDYD
DIAPOWER
DICIND
DIGJAMLTD
DISHTV
DIVISLAB
DIXON
DLF
DLINKINDIA
DMART
DOLLAR
DOLPHINOFF
DONEAR
DPL
DPSCLTD
DQE
DREDGECORP
DRREDDY
DSKULKARNI
DSSL
DTIL
DUCON
DWARKESH
DYNAMATECH
DYNPRO
EASTSILK
EASUNREYRL
ECEIND
ECLERX
EDELWEISS
EDL
EDUCOMP
EICHERMOT
EIDPARRY
EIHAHOTELS
EIHOTEL
EIMCOELECO
EKC
ELAND
ELECON
ELECTCAST
ELECTHERM
ELGIEQUIP
ELGIRUBCO
EMAMIINFRA
EMAMILTD
EMCO
EMKAY
EMMBI
ENDURANCE
ENERGYDEV
ENGINERSIN
ENIL
EON
EQUITAS
EQUITAS
ERIS
EROSMEDIA
ESABINDIA
ESCORTS
ESL
ESSARSHPNG
ESSDEE
ESSELPACK
ESTER
EUROCERA
EUROMULTI
EUROTEXIND
EVEREADY
EVERESTIND
EXCEL
EXCELCROP
EXCELINDUS
EXIDEIND
FACT
FAIRCHEM
FCL
FCONSUMER
FDC
FEDDERELEC
FEDERALBNK
FEL
FELDVR
FIEMIND
FILATEX
FINCABLES
FINPIPE
FLEXITUFF
FLFL
FMGOETZE
FMNL
FORTIS
FORTUNEFIN
FOSECOIND
FRETAIL
FSL
GABRIEL
GAEL
GAIL
GAL
GAMMNINFRA
GAMMONIND
GANDHITUBE
GANECOS
GANESHHOUC
GANGESSECU
